survived,pclass,sibsp,parch,alone,age_norm,fare_norm,sex_encoded,embarked_Q,embarked_S,class_Second,class_Third
0,3,1,0,False,0.2711736617240512,0.10170685139436587,1,False,True,False,True
1,1,1,0,False,0.4722292033174164,1.0,0,False,False,False,False
1,3,0,0,True,0.32143754712239253,0.11117610997246201,0,False,True,False,True
1,1,1,0,False,0.4345312892686604,0.7449150081435625,0,False,True,False,False
0,3,0,0,True,0.4345312892686604,0.11292967637581315,1,False,True,False,True
0,3,0,0,True,0.34656948982156316,0.11865752567571929,1,True,False,False,True
0,1,0,0,True,0.6732847449107816,0.7275547007503862,1,False,True,False,False
0,3,3,1,False,0.01985423473234481,0.2956512956050015,1,False,True,False,True
1,3,0,2,False,0.33400351847197784,0.1561838467074336,0,False,True,False,True
1,2,1,0,False,0.17064589092736868,0.42184915681513063,0,False,False,True,False
1,3,1,1,False,0.04498617743151546,0.23427647148771172,0,False,True,False,True
1,1,0,0,True,0.723548630309123,0.37245750407178124,0,False,True,False,False
0,3,0,0,True,0.24604171902488062,0.11292967637581315,1,False,True,False,True
0,3,1,5,False,0.4847951746670017,0.43874231411845416,1,False,True,False,True
0,3,0,0,True,0.17064589092736868,0.11018288996160391,0,False,True,False,True
1,2,0,0,True,0.685850716260367,0.22445649962894537,0,False,True,True,False
0,3,4,1,False,0.01985423473234481,0.4085809719808146,1,True,False,False,True
1,2,0,0,True,0.34656948982156316,0.18237090594851812,1,False,True,True,False
0,3,1,0,False,0.38426740387031916,0.25251356208256354,0,False,True,False,True
1,3,0,0,True,0.34656948982156316,0.10135613811369563,0,False,False,False,True
0,2,0,0,True,0.4345312892686604,0.36474181189703625,1,False,True,True,False
1,2,0,0,True,0.4219653179190751,0.18237090594851812,1,False,True,True,False
1,3,0,0,True,0.18321186227695402,0.11263788292629551,0,True,False,False,True
1,1,0,0,True,0.34656948982156316,0.49801285855172256,1,False,True,False,False
0,3,3,1,False,0.09525006282985675,0.2956512956050015,0,False,True,False,True
1,3,1,5,False,0.4722292033174164,0.4403205238814702,0,False,True,False,True
0,3,0,0,True,0.34656948982156316,0.10135613811369563,1,False,False,False,True
1,3,0,0,True,0.34656948982156316,0.11053360324227415,0,True,False,False,True
0,3,0,0,True,0.34656948982156316,0.11076647686063919,1,False,True,False,True
0,1,0,0,True,0.49736114601658704,0.38888210843212934,1,False,False,False,False
1,3,0,0,True,0.34656948982156316,0.10872111700777042,0,True,False,False,True
0,2,0,0,True,0.8240764011058055,0.1472995778814954,1,False,True,True,False
0,1,1,0,False,0.5224930887157577,0.7294836237940725,1,False,True,False,False
1,3,0,0,True,0.34656948982156316,0.10141505794484824,1,False,False,False,True
0,3,0,0,True,0.2586076903744659,0.11292967637581315,1,False,True,False,True
0,3,2,0,False,0.22090977632571,0.25251356208256354,0,False,True,False,True
1,3,1,0,False,0.17064589092736868,0.1577045394924197,0,False,False,False,True
0,3,1,0,False,0.49736114601658704,0.13292033337401607,0,False,True,False,True
0,2,1,0,False,0.33400351847197784,0.2945991557629908,0,False,True,True,False
